name,country,ats_type,careers_url,ats_board_token,industry,sponsorship_history,english_friendly,remote_score
Klarna,Sweden,greenhouse,https://boards.greenhouse.io/klarna,klarna,Fintech,85,90,65
Mentimeter,Sweden,teamtailor,https://mentimeter.teamtailor.com,,EdTech,70,90,65
Planhat,Sweden,teamtailor,https://planhat.teamtailor.com,,SaaS,70,90,70
Quinyx,Sweden,teamtailor,https://quinyx.teamtailor.com,,Workforce,70,85,60
Spotify,Sweden,greenhouse,https://boards.greenhouse.io/spotify,spotify,Media,90,95,75
Teamtailor,Sweden,teamtailor,https://careers.teamtailor.com,,HR Tech,75,90,65
Voi Technology,Sweden,greenhouse,https://boards.greenhouse.io/voitechnology,voitechnology,Mobility,75,85,50
Deliveroo,United Kingdom,greenhouse,https://boards.greenhouse.io/deliveroo,deliveroo,Food Tech,80,90,55
Improbable,United Kingdom,greenhouse,https://boards.greenhouse.io/improbable,improbable,Gaming/AI,80,90,65
Incident.io,United Kingdom,ashby,https://jobs.ashbyhq.com/incident.io,incident.io,SaaS,80,95,85
Luno,United Kingdom,greenhouse,https://boards.greenhouse.io/luno,luno,Crypto,80,90,70
Monzo,United Kingdom,greenhouse,https://boards.greenhouse.io/monzo,monzo,Fintech,90,95,70
Ocado Technology,United Kingdom,greenhouse,https://boards.greenhouse.io/ocadogroup,ocadogroup,,80,85,60
Revolut,United Kingdom,greenhouse,https://boards.greenhouse.io/revolut,revolut,Fintech,85,90,60
Skyscanner,United Kingdom,lever,https://jobs.lever.co/skyscanner,skyscanner,,80,85,60
Airbyte,United States,ashby,https://jobs.ashbyhq.com/airbyte,airbyte,Data,80,95,80
BambooHR,United States,bamboohr,https://bamboohr.bamboohr.com/jobs,,HR Tech,70,90,70
Databricks,United States,lever,https://jobs.lever.co/databricks,databricks,Data/AI,85,95,75
Dbt Labs,United States,ashby,https://jobs.ashbyhq.com/dbtlabs,dbtlabs,Data,80,95,80
Elastic,United States,lever,https://jobs.lever.co/elastic,elastic,Search/Cloud,85,95,85
Figma,United States,greenhouse,https://boards.greenhouse.io/figma,figma,Design,80,95,70
Linear,United States,ashby,https://jobs.ashbyhq.com/linear,linear,Developer Tools,80,95,85
Loom,United States,ashby,https://jobs.ashbyhq.com/loom,loom,SaaS,80,95,80
Mapbox,United States,lever,https://jobs.lever.co/mapbox,mapbox,GeoTech,80,90,75
Mixpanel,United States,lever,https://jobs.lever.co/mixpanel,mixpanel,Analytics,80,90,80
Netlify,United States,lever,https://jobs.lever.co/netlify,netlify,Developer Tools,80,95,90
Notion,United States,greenhouse,https://boards.greenhouse.io/notion,notion,Productivity,75,95,80
Retool,United States,ashby,https://jobs.ashbyhq.com/retool,retool,Developer Tools,80,95,75
Sentry,United States,lever,https://jobs.lever.co/sentry,sentry,Developer Tools,80,95,85
Stripe,United States,greenhouse,https://boards.greenhouse.io/stripe,stripe,Fintech,90,95,70
Twilio,United States,greenhouse,https://boards.greenhouse.io/twilio,twilio,SaaS,80,90,75
Vercel,United States,lever,https://jobs.lever.co/vercel,vercel,Developer Tools,85,95,90
simcorp,Denmark,workday,https://simcorp.wd3.myworkdayjobs.com/en-US/SimCorp_Jobs,,,,,
